sample1	sample2	expr.similarity	expr.doppel	pheno.similarity	pheno.doppel	smokinggun.similarity	smokinggun.doppel
GSE7390:GSM178004	GSE7390:GSM178036	0.9879761946572879	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79115	GSE7390:GSM178013	0.9816704246032509	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79137	GSE7390:GSM178015	0.985188542179567	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79145	GSE7390:GSM178016	0.9841850976900101	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79199	GSE7390:GSM178026	0.9846938818351894	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79221	GSE7390:GSM178029	0.9818580645798818	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79232	GSE7390:GSM178030	0.9837119603621582	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79249	GSE7390:GSM178031	0.9859760812804906	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79250	GSE7390:GSM178032	0.9809041646590626	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79283	GSE7390:GSM178039	0.9816365822568566	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79285	GSE7390:GSM178040	0.9883790100777755	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79293	GSE7390:GSM178042	0.9813581234146734	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79300	GSE7390:GSM178043	0.9821695373515664	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79318	GSE7390:GSM178044	0.9849667164170502	TRUE	NA	FALSE	NA	FALSE
GSE3494_U133A:GSM79357	GSE7390:GSM178045	0.9809045004725273	TRUE	NA	FALSE	NA	FALSE
