gseID	gsmID	celfileID	value
GSE17907	GSM447197	GSM447197.CEL.gz	202473.77
GSE17907	GSM447198	GSM447198.CEL.gz	205564.25
GSE17907	GSM447199	GSM447199.CEL.gz	207360.82
GSE17907	GSM447200	GSM447200.CEL.gz	218439.68
GSE17907	GSM447201	GSM447201.CEL.gz	219964.14
GSE17907	GSM447202	GSM447202.CEL.gz	215076.25
GSE17907	GSM447203	GSM447203.CEL.gz	217054.34
GSE17907	GSM447204	GSM447204.CEL.gz	201217.73
GSE17907	GSM447205	GSM447205.CEL.gz	206551.57
GSE17907	GSM447206	GSM447206.CEL.gz	171252.77
GSE17907	GSM447207	GSM447207.CEL.gz	232374.41
GSE17907	GSM447208	GSM447208.CEL.gz	204915.72
GSE17907	GSM447209	GSM447209.CEL.gz	219130.48
GSE17907	GSM447210	GSM447210.CEL.gz	219662.14
GSE17907	GSM447211	GSM447211.CEL.gz	201623.34
GSE17907	GSM447212	GSM447212.CEL.gz	216369.63
GSE17907	GSM447213	GSM447213.CEL.gz	208224.55
GSE17907	GSM447214	GSM447214.CEL.gz	215204.16
GSE17907	GSM447215	GSM447215.CEL.gz	217734.36
GSE17907	GSM447216	GSM447216.CEL.gz	219816.82
GSE17907	GSM447217	GSM447217.CEL.gz	219464.68
GSE17907	GSM447218	GSM447218.CEL.gz	210334.27
GSE17907	GSM447219	GSM447219.CEL.gz	216897.95
GSE17907	GSM447220	GSM447220.CEL.gz	227202.39
GSE17907	GSM447221	GSM447221.CEL.gz	217401.89
GSE17907	GSM447222	GSM447222.CEL.gz	229453.93
GSE17907	GSM447223	GSM447223.CEL.gz	218174.89
GSE17907	GSM447224	GSM447224.CEL.gz	224111.41
GSE17907	GSM447225	GSM447225.CEL.gz	205358.61
GSE17907	GSM447226	GSM447226.CEL.gz	211660.05
GSE17907	GSM447227	GSM447227.CEL.gz	176647.66
GSE17907	GSM447228	GSM447228.CEL.gz	219002.37
GSE17907	GSM447229	GSM447229.CEL.gz	217395.43
GSE17907	GSM447230	GSM447230.CEL.gz	204433.84
GSE17907	GSM447231	GSM447231.CEL.gz	204400.77
GSE17907	GSM447232	GSM447232.CEL.gz	205320
GSE17907	GSM447233	GSM447233.CEL.gz	207469.02
GSE17907	GSM447234	GSM447234.CEL.gz	225817.18
GSE17907	GSM447235	GSM447235.CEL.gz	201064.52
GSE17907	GSM447236	GSM447236.CEL.gz	214344.09
GSE17907	GSM447237	GSM447237.CEL.gz	186390.18
GSE17907	GSM447238	GSM447238.CEL.gz	208674.75
GSE17907	GSM447239	GSM447239.CEL.gz	193555.48
GSE17907	GSM447240	GSM447240.CEL.gz	197747.27
GSE17907	GSM447241	GSM447241.CEL.gz	212348.75
